year,temperature,co2,ch4,population
1984,0.14104166666666665,344.0733333333333,1644.84,4782175518
1985,0.14075000000000001,345.53749999999997,1657.29,4868943457
1986,0.19099999999999998,346.9683333333333,1670.09,4958072839
1987,0.33466666666666667,348.67833333333334,1682.71,5049746390
1988,0.3725833333333333,351.1583333333333,1693.19,5141992540
1989,0.26025000000000004,352.78749999999997,1704.53,5234431736
1990,0.443375,354.05749999999995,1714.46,5327803106
1991,0.42450000000000004,355.3966666666667,1724.79,5418735886
1992,0.23558333333333334,356.0916666666667,1735.47,5505989815
1993,0.281625,356.83500000000004,1736.48,5591544802
1994,0.33716666666666667,358.3283333333333,1742.08,5675551258
1995,0.4711666666666667,360.1766666666667,1748.88,5758878977
1996,0.3535,361.93249999999995,1751.3,5842055730
1997,0.5172916666666666,363.03666666666663,1754.51,5924787819
1998,0.6484166666666668,365.6958333333334,1765.57,6007066691
1999,0.4095416666666667,367.79333333333335,1772.3,6089006328
2000,0.4071666666666667,368.96416666666664,1773.22,6171702992
2001,0.551125,370.56583333333333,1771.29,6254936464
2002,0.634875,372.5833333333333,1772.68,6337730343
2003,0.6235416666666667,375.13916666666665,1777.33,6420361633
2004,0.5497083333333334,376.94416666666666,1777.13,6503377774
2005,0.6829166666666667,378.98083333333335,1774.23,6586970132
2006,0.626875,381.15000000000003,1774.94,6671452019
2007,0.6424583333333334,382.8983333333333,1781.33,6757308776
2008,0.52925,385.0208333333333,1787.01,6844457659
2009,0.656625,386.49666666666667,1793.52,6932766416
2010,0.7197083333333333,388.7558333333333,1798.92,7021732143
2011,0.6062500000000001,390.62083333333334,1803.03,7110923773
2012,0.6329583333333333,392.64916666666664,1808.07,7201202478
2013,0.6658333333333334,395.3958333333333,1813.42,7291793585
2014,0.7310416666666667,397.3441666666667,1822.59,7381616239
2015,0.8861666666666667,399.64916666666664,1834.19,7470491876
2016,0.9875416666666667,403.06583333333333,1843.18,7558554527
2017,0.9015,405.2166666666667,1849.62,7645617952
2018,0.8250000000000001,407.6125,1857.34,7729902779
2019,0.9581666666666667,410.07166666666666,1866.59,7811293699
2020,0.9899166666666667,412.4433333333333,1878.72,7887001289
2021,0.8385416666666666,414.70250000000004,1894.81,7954448387
2022,0.8719166666666666,417.0841666666667,1910.95,8021407196
2023,1.160125,419.35249999999996,1921.38,8091734933
